Steppingstone sampler:
        No Stones:                  100
        Start It:                   50000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-12.049394	-12.049394
1	0.950747	750	-12.057043	-24.106438
2	0.926679	750	-11.904635	-36.011073
3	0.902980	750	-11.879814	-47.890887
4	0.879648	750	-11.745282	-59.636170
5	0.856682	750	-11.707422	-71.343592
6	0.834079	750	-11.653570	-82.997162
7	0.811838	750	-11.442273	-94.439435
8	0.789957	750	-11.107090	-105.546525
9	0.768433	750	-10.904071	-116.450596
10	0.747266	750	-11.000327	-127.450923
11	0.726452	750	-10.846173	-138.297096
12	0.705989	750	-10.822945	-149.120042
13	0.685877	750	-10.695478	-159.815519
14	0.666112	750	-10.519857	-170.335376
15	0.646693	750	-10.337212	-180.672589
16	0.627618	750	-10.229470	-190.902059
17	0.608884	750	-9.865893	-200.767952
18	0.590490	750	-10.023355	-210.791307
19	0.572433	750	-9.916422	-220.707729
20	0.554712	750	-9.853608	-230.561337
21	0.537324	750	-10.013391	-240.574728
22	0.520268	750	-9.751501	-250.326229
23	0.503540	750	-9.399141	-259.725369
24	0.487139	750	-9.138051	-268.863420
25	0.471063	750	-9.223231	-278.086651
26	0.455310	750	-8.999024	-287.085675
27	0.439877	750	-8.804484	-295.890160
28	0.424762	750	-8.774169	-304.664328
29	0.409963	750	-8.742704	-313.407032
30	0.395478	750	-8.545567	-321.952599
31	0.381305	750	-8.794963	-330.747562
32	0.367440	750	-8.418566	-339.166129
33	0.353883	750	-8.129567	-347.295696
34	0.340630	750	-7.950038	-355.245733
35	0.327680	750	-8.074705	-363.320438
36	0.315030	750	-7.963375	-371.283813
37	0.302677	750	-7.734406	-379.018220
38	0.290619	750	-7.699469	-386.717688
39	0.278855	750	-7.741494	-394.459182
40	0.267381	750	-7.882321	-402.341503
41	0.256195	750	-7.298226	-409.639730
42	0.245294	750	-7.051052	-416.690782
43	0.234677	750	-6.823559	-423.514341
44	0.224340	750	-6.833267	-430.347608
45	0.214281	750	-6.773739	-437.121347
46	0.204498	750	-6.573244	-443.694590
47	0.194988	750	-6.410132	-450.104722
48	0.185749	750	-6.240741	-456.345463
49	0.176777	750	-6.218851	-462.564315
50	0.168070	750	-6.206016	-468.770330
51	0.159626	750	-5.814907	-474.585237
52	0.151441	750	-5.855541	-480.440778
53	0.143514	750	-5.919627	-486.360405
54	0.135841	750	-5.728357	-492.088762
55	0.128420	750	-5.597363	-497.686124
56	0.121247	750	-5.310802	-502.996926
57	0.114320	750	-4.991770	-507.988696
58	0.107637	750	-4.896483	-512.885179
59	0.101193	750	-4.750439	-517.635619
60	0.094986	750	-4.516652	-522.152270
61	0.089014	750	-4.344315	-526.496586
62	0.083273	750	-4.316275	-530.812861
63	0.077760	750	-4.261988	-535.074849
64	0.072472	750	-4.226394	-539.301243
65	0.067406	750	-3.938514	-543.239756
66	0.062558	750	-4.103886	-547.343643
67	0.057926	750	-3.839676	-551.183319
68	0.053506	750	-3.616343	-554.799662
69	0.049295	750	-3.480177	-558.279839
70	0.045289	750	-3.322249	-561.602088
71	0.041485	750	-3.563931	-565.166019
72	0.037880	750	-3.211001	-568.377020
73	0.034469	750	-3.082924	-571.459944
74	0.031250	750	-2.996744	-574.456688
75	0.028218	750	-2.739697	-577.196385
76	0.025370	750	-2.574276	-579.770662
77	0.022702	750	-2.507784	-582.278445
78	0.020209	750	-2.415281	-584.693727
79	0.017889	750	-2.430113	-587.123840
80	0.015736	750	-1.988339	-589.112179
81	0.013746	750	-1.942413	-591.054592
82	0.011916	750	-1.925346	-592.979938
83	0.010240	750	-1.851793	-594.831731
84	0.008714	750	-1.872644	-596.704375
85	0.007334	750	-2.196804	-598.901179
86	0.006093	750	-1.567456	-600.468635
87	0.004988	750	-1.893649	-602.362284
88	0.004013	750	-1.517978	-603.880261
89	0.003162	750	-1.300592	-605.180854
90	0.002430	750	-1.718144	-606.898998
91	0.001810	750	-1.428670	-608.327668
92	0.001296	750	-1.389411	-609.717079
93	0.000882	750	-1.085196	-610.802275
94	0.000559	750	-0.939228	-611.741503
95	0.000320	750	-0.658711	-612.400213
96	0.000156	750	-0.445552	-612.845766
97	0.000057	750	-0.289908	-613.135673
98	0.000010	750	-0.130748	-613.266421
99	0.000000	750	-0.028698	-613.295119
Log marginal likelihood:	-613.295119
