"label","log_len"
"Arrojadoa_rhodantha",1.25276296849537
"Arthrocereus_glaziovii",1.79175946922805
"Arthrocereus_rondonianus",2.07944154167984
"Arthrocereus_spinosissimus",1.94591014905531
"Brasilicereus_markgrafii",1.79175946922805
"Browningia_altissima",1.79175946922805
"Browningia_candelaris",2.484906649788
"Cereus_aethiops",2.99573227355399
"Cereus_bicolor",2.94443897916644
"Cereus_fernambucensis",2.99573227355399
"Cereus_hankeanus",2.484906649788
"Cereus_hexagonus",3.2188758248682
"Cereus_hildmannianus",3.40119738166216
"Cereus_insularis",2.70805020110221
"Cereus_jamacaru",2.484906649788
"Cereus_mortensenii",1.79175946922805
"Cereus_repandus",2.70805020110221
"Cereus_saddianus",2.07944154167984
"Cereus_spegazzinii",2.56494935746154
"Cipocereus_bradei",2.01490302054226
"Cipocereus_crassisepalus",2.01490302054226
"Cipocereus_minensis",1.6094379124341
"Cleistocactus_baumannii",1.94591014905531
"Cleistocactus_laniceps",1.25276296849537
"Cleistocactus_parviflorus",1.38629436111989
"Cleistocactus_ritteri",1.38629436111989
"Cleistocactus_samaipatanus",1.25276296849537
"Cleistocactus_smaragdiflorus",1.6094379124341
"Coleocephalocereus_fluminensis",1.94591014905531
"Coleocephalocereus_goebelianus",1.6094379124341
"Discocactus_zehntneri",2.19722457733622
"Echinopsis_ancistrophora",2.77258872223978
"Echinopsis_angelesiae",2.99573227355399
"Echinopsis_atacamensis",3.17805383034795
"Echinopsis_aurea",2.19722457733622
"Echinopsis_backebergii",1.70474809223843
"Echinopsis_calochlora",2.77258872223978
"Echinopsis_camarguensis",2.99573227355399
"Echinopsis_candicans",3.13549421592915
"Echinopsis_chamaecereus",1.94591014905531
"Echinopsis_chiloensis",2.63905732961526
"Echinopsis_chrysantha",1.6094379124341
"Echinopsis_coquimbana",2.484906649788
"Echinopsis_densispina",2.14006616349627
"Echinopsis_deserticola",2.07944154167984
"Echinopsis_ferox",2.30258509299405
"Echinopsis_formosa",2.19722457733622
"Echinopsis_hahniana",2.83321334405622
"Echinopsis_hertrichiana",1.79175946922805
"Echinopsis_huascha",2.30258509299405
"Echinopsis_lageniformis",2.89037175789616
"Echinopsis_lateritia",1.6094379124341
"Echinopsis_leucantha",2.99573227355399
"Echinopsis_mamillosa",2.89037175789616
"Echinopsis_marsoneri",1.79175946922805
"Echinopsis_maximiliana",2.07944154167984
"Echinopsis_mirabilis",2.484906649788
"Echinopsis_obrepanda",2.99573227355399
"Echinopsis_oxygona",3.09104245335832
"Echinopsis_pachanoi",3.17805383034795
"Echinopsis_pentlandii",1.79175946922805
"Echinopsis_pugionacantha",1.50407739677627
"Echinopsis_saltensis",1.38629436111989
"Echinopsis_schickendantzii",3.09104245335832
"Echinopsis_spiniflora",1.38629436111989
"Echinopsis_strigosa",2.99573227355399
"Echinopsis_tacaquirensis",3.13549421592915
"Echinopsis_tarijensis",2.484906649788
"Echinopsis_tegeleriana",1.38629436111989
"Echinopsis_terscheckii",2.99573227355399
"Echinopsis_thelegona",0.693147180559945
"Echinopsis_thelegonoides",3.17805383034795
"Echinopsis_thionantha",1.50407739677627
"Echinopsis_tiegeliana",0.916290731874155
"Echinopsis_vasquezii",3.09104245335832
"Echinopsis_volliana",2.484906649788
"Echinopsis_walteri",2.19722457733622
"Echinopsis_yuquina",1.38629436111989
"Espostoa_guentheri",2.07944154167984
"Espostoa_lanata",1.70474809223843
"Espostoopsis_dybowskii",1.38629436111989
"Facheiroa_squamosa",1.50407739677627
"Facheiroa_ulei",1.50407739677627
"Gymnocalycium_andreae",1.09861228866811
"Gymnocalycium_baldianum",1.6094379124341
"Gymnocalycium_bayrianum",1.79175946922805
"Gymnocalycium_berchtii",2.06686275947298
"Gymnocalycium_bodenbenderianum",1.79175946922805
"Gymnocalycium_bruchii",1.6094379124341
"Gymnocalycium_calochlorum",1.79175946922805
"Gymnocalycium_capillense",1.94591014905531
"Gymnocalycium_castellanosii",1.50407739677627
"Gymnocalycium_chiquitanum",1.94591014905531
"Gymnocalycium_denudatum",1.6094379124341
"Gymnocalycium_erinaceum",1.70474809223843
"Gymnocalycium_eurypleurum",1.09861228866811
"Gymnocalycium_gibbosum",1.79175946922805
"Gymnocalycium_glaucum",1.50407739677627
"Gymnocalycium_marsoneri",1.25276296849537
"Gymnocalycium_mesopotamicum",1.94591014905531
"Gymnocalycium_mihanovichii",1.6094379124341
"Gymnocalycium_monvillei",2.07944154167984
"Gymnocalycium_mostii",2.07944154167984
"Gymnocalycium_ochoterenae",1.25276296849537
"Gymnocalycium_oenanthemum",1.6094379124341
"Gymnocalycium_paraguayense",1.6094379124341
"Gymnocalycium_pugionacanthum",1.38629436111989
"Gymnocalycium_quehlianum",1.79175946922805
"Gymnocalycium_ritterianum",1.87180217690159
"Gymnocalycium_saglionis",1.25276296849537
"Gymnocalycium_schickendantzii",1.6094379124341
"Gymnocalycium_spegazzinii",1.94591014905531
"Gymnocalycium_stenopleurum",1.94591014905531
"Gymnocalycium_striglianum",1.6094379124341
"Gymnocalycium_uebelmannianum",1.25276296849537
"Haageocereus_decumbens",2.07944154167984
"Harrisia_adscendens",2.89037175789616
"Harrisia_earlei",2.99573227355399
"Harrisia_martinii",2.99573227355399
"Harrisia_pomanensis",2.70805020110221
"Harrisia_tetracantha",3.09104245335832
"Harrisia_tortuosa",2.77258872223978
"Lasiocereus_fulvus",1.79175946922805
"Lasiocereus_rupicola",1.6094379124341
"Leocereus_bahiensis",1.7404661748405
"Matucana_aurantiaca",2.07944154167984
"Matucana_haynei",2.19722457733622
"Matucana_intertexta",2.35137525716348
"Matucana_madisoniorum",2.30258509299405
"Melocactus_curvispinus",1.45861502269952
"Melocactus_intortus",0.693147180559945
"Melocactus_oreas",0.78845736036427
"Melocactus_zehntneri",0.916290731874155
"Micranthocereus_albicephalus",1.6094379124341
"Micranthocereus_auriazureus",0.587786664902119
"Mila_caespitosa",0.693147180559945
"Oreocereus_celsianus",2.19722457733622
"Oreocereus_hempelianus",1.94591014905531
"Oreocereus_leucotrichus",2.30258509299405
"Oreocereus_trollii",1.38629436111989
"Oroya_peruviana",1.09861228866811
"Pilosocereus_albisummus",1.45861502269952
"Pilosocereus_arrabidae",1.94591014905531
"Pilosocereus_aureispinus",1.6094379124341
"Pilosocereus_aurisetus",1.6094379124341
"Pilosocereus_azulensis",1.90210752639692
"Pilosocereus_brasiliensis",1.50407739677627
"Pilosocereus_catingicola",1.90210752639692
"Pilosocereus_chrysacanthus",2.07944154167984
"Pilosocereus_densiareolatus",1.79175946922805
"Pilosocereus_flavipulvinatus",1.79175946922805
"Pilosocereus_fulvilanatus",1.79175946922805
"Pilosocereus_glaucochrous",1.64865862558738
"Pilosocereus_lanuginosus",2.01490302054226
"Pilosocereus_leucocephalus",1.79175946922805
"Pilosocereus_machrisii",2.07944154167984
"Pilosocereus_magnificus",1.79175946922805
"Pilosocereus_multicostatus",1.54756250871601
"Pilosocereus_oligolepis",1.94591014905531
"Pilosocereus_pachycladus",1.94591014905531
"Pilosocereus_parvus",2.07944154167984
"Pilosocereus_pentaedrophorus",1.70474809223843
"Pilosocereus_piauhyensis",2.01490302054226
"Pilosocereus_polygonus",1.79175946922805
"Pilosocereus_purpusii",1.94591014905531
"Pilosocereus_pusillibaccatus",0.955511445027436
"Pilosocereus_royenii",1.6094379124341
"Pilosocereus_ulei",1.50407739677627
"Pilosocereus_vilaboensis",1.6094379124341
"Praecereus_euchlorus",2.07944154167984
"Praecereus_saxicola",2.484906649788
"Pygmaeocereus_bylesianus",1.79175946922805
"Rauhocereus_riosaniensis",2.30258509299405
"Rebutia_arenacea",1.09861228866811
